adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-02-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),11.0,15.0,1.0,1384_78_15_5,5.0,KG,1423958400.0,2015.0
2766.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-03-15,,0.0,Beans (red) - Retail (KG),1391.0,Jau,10.5,15.0,1.0,1391_78_15_5,5.0,KG,1426377600.0,2015.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-04-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,12.25,15.0,1.0,2241_78_15_5,5.0,KG,1429056000.0,2015.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-05-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,12.2,15.0,1.0,2241_78_15_5,5.0,KG,1431648000.0,2015.0
2766.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-06-15,,0.0,Beans (red) - Retail (KG),1391.0,Jau,17.0,15.0,1.0,1391_78_15_5,5.0,KG,1434326400.0,2015.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-07-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),20.0,15.0,1.0,1384_78_15_5,5.0,KG,1436918400.0,2015.0
2748.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-08-15,,0.0,Beans (red) - Retail (KG),1388.0,Konyo Konyo,20.0,15.0,1.0,1388_78_15_5,5.0,KG,1439596800.0,2015.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-09-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),20.0,15.0,1.0,1384_78_15_5,5.0,KG,1442275200.0,2015.0
2747.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-10-15,,0.0,Beans (red) - Retail (KG),1385.0,Bentiu,22.5,15.0,1.0,1385_78_15_5,5.0,KG,1444867200.0,2015.0
2747.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-11-15,,0.0,Beans (red) - Retail (KG),1385.0,Bentiu,24.8,15.0,1.0,1385_78_15_5,5.0,KG,1447545600.0,2015.0
2751.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2015-12-15,,0.0,Beans (red) - Retail (KG),1386.0,Bor,27.5,15.0,1.0,1386_78_15_5,5.0,KG,1450137600.0,2015.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-01-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,32.75,15.0,1.0,2241_78_15_5,5.0,KG,1452816000.0,2016.0
2751.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-02-15,,0.0,Beans (red) - Retail (KG),1386.0,Bor,38.7,15.0,1.0,1386_78_15_5,5.0,KG,1455494400.0,2016.0
2751.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2016-03-15,,0.0,Beans (red) - Retail (KG),1386.0,Bor,44.0,15.0,1.0,1386_78_15_5,5.0,KG,1458000000.0,2016.0
